,Ticker
0,ATVI
1,ADBE
2,AMD
3,ALXN
4,ALGN
5,GOOGL
6,GOOG
7,AMZN
8,AMGN
9,ADI
10,ANSS
11,AAPL
12,AMAT
13,ASML
14,ADSK
15,ADP
16,BIDU
17,BIIB
18,BMRN
19,BKNG
20,AVGO
21,CDNS
22,CDW
23,CERN
24,CHTR
25,CHKP
26,CTAS
27,CSCO
28,CTXS
29,CTSH
30,CMCSA
31,CPRT
32,COST
33,CSX
34,DXCM
35,DOCU
36,DLTR
37,EBAY
38,EA
39,EXC
40,EXPE
41,FB
42,FAST
43,FISV
44,FOXA
45,FOX
46,GILD
47,IDXX
48,ILMN
49,INCY
50,INTC
51,INTU
52,ISRG
53,JD
54,KDP
55,KLAC
56,KHC
57,LRCX
58,LBTYA
59,LBTYK
60,LULU
61,MAR
62,MXIM
63,MELI
64,MCHP
65,MU
66,MSFT
67,MRNA
68,MDLZ
69,MNST
70,NTES
71,NFLX
72,NVDA
73,NXPI
74,ORLY
75,PCAR
76,PAYX
77,PYPL
78,PEP
79,PDD
80,QCOM
81,REGN
82,ROST
83,SGEN
84,SIRI
85,SWKS
86,SPLK
87,SBUX
88,SNPS
89,TMUS
90,TTWO
91,TSLA
92,TXN
93,TCOM
94,ULTA
95,VRSN
96,VRSK
97,VRTX
98,WBA
99,WDAY
100,XEL
101,XLNX
102,ZM
